nome,razao_social,fantasia,cnpj,inscricao_estadual,cep,logradouro,bairro,cidade,estado,ibge,email,celular,telefone
WEVERTON LOPES FERNANDES & CIA LTDA,WEVERTON LOPES FERNANDES & CIA LTDA,FUNERARIA PAZ ETERNA,22.803.899/0001-13,083.115.04-8,29820-000,"RUA IRACY MARQUES, 347",CENTRO,AGUA DOCE DO NORTE,ES,3200169,avantcontabilidade01@gmail.com,,(33)8867-3936
DJE SERVICOS FUNERARIOS LTDA,DJE SERVICOS FUNERARIOS LTDA,FUNERARIA SAO VICENT,40.886.325/0001-38,003998504.00-23,37940-000,"RUA BELO HORIZONTE, 1725",SAO BENEDITO,ALPINOPOLIS,MG,3101904,rm2091adm@gmail.com,,035 3523-1502
FUNERARIA ALVINOPOLIS LTDA,FUNERARIA ALVINOPOLIS LTDA,FUNERARIA ALVINOPOLI,02.142.043/0001-37,023.718.324.00-09,35950-000,"AVENIDA AV ANTONIO CARLOS, 782 A",BAIRRO,ALVINOPOLIS,MG,3102308,keniaseveriano@hotmail.com,,031 3855-1198
FUNERARIA ALVES AM LTDA,FUNERARIA ALVES AM LTDA,FUNERARIA ALVES AM L,47.194.064/0001-34,165.672.510.119,13465-340,"RUA JOSE FERREIRA ARANHA, 271",CHACARA GIRASSOL,AMERICANA,SP,3501608,ltcabc@hotmail.com,,019 3648-4531
PAX SERVICOS FUNERARIOS LTDA,PAX SERVICOS FUNERARIOS LTDA,PAX SERVICOS FUNERAR,32.981.081/0001-44,ISENTO,13465-020,"RUA FERNANDO CAMARGO, 827",CENTRO,AMERICANA,SP,3501608,diretoria@assistenciagrupopax.com,19 34082551,19 34062004
EMPRESA FUNERARIA SAO SEBASTIAO LTDA,EMPRESA FUNERARIA SAO SEBASTIAO LTDA,FUNERARIA SAO SEBAST,01.051.606/0001-19,10.058.734-8,75024-040,"RUA GENERAL JOAQUIM INACIO, 255",CENTRO,ANAPOLIS,GO,5201108,caixao.roxo@hotmail.com,062 3313-6968,062 3324-2896
FUNERARIA VERDE MAR GOUVEA LTDA,FUNERARIA VERDE MAR GOUVEA LTDA,FUNERARIA VERDE MAR,51.281.652/0001-82,12.915.56-0,23934-005,"R PREFEITO JOAO GREGORIO GALINDO, 58",JAPUIBA,ANGRA DOS REIS,RJ,3300100,gouveacigano@gmail.com,(24) 33656165,(24) 7404-5240
PAX APARECIDA SERVICOS POSTUMOS LTDA.,PAX APARECIDA SERVICOS POSTUMOS LTDA.,FUNERARIA PAX APAREC,10.712.139/0001-11,ISENTO,74905-190,"AVENIDA BRASILIA, S/N",VILA BRASILIA,APARECIDA DE GOIANIA,GO,5201405,paxaparecida@hotmail.com,,(62) 3549-6585
FUNERARIA GOIANIA LTDA,FUNERARIA GOIANIA LTDA,PAX GOIANIA,06.219.783/0001-85,10.392.927-4,74910-190,"RUA VISCONDE DE OURO PRETO, SN",PQ REAL DE GOIANIA,APARECIDA DE GOIANIA,GO,5201405,paxgoiania@hotmail.com,062 99146-8055,062 3983-3912
JOAO CORREIA DA SILVA APIAI - ME,JOAO CORREIA DA SILVA APIAI - ME,ORGANIZACAO SOCIAL D,02.136.965/0001-31,176.085.197.117,18320-000,"RUA 1 DE MAIO, 774",CENTRO,APIAI,SP,3502705,osla.apiai@uol.com.br,,015 3552-1307
AMARE GESTAO DE PROCESSOS LTDA EPP,AMARE GESTAO DE PROCESSOS LTDA EPP,ALPHA AMARE,23.484.474/0001-51,623.374.454.112,18147-000,"AVENDIDA NICOLAU FERREIRA DE SOUZA, 446",CENTRO,ARACARIGUAMA,SP,3502754,atendimento@alphaamare.com.br,,011 4237-3405
PAX DO BRASIL ADMINISTRACAO LTDA EPP,PAX DO BRASIL ADMINISTRACAO LTDA EPP,PAX DO BRASIL,17.661.596/0001-73,ISENTO,38440-128,"RUA MARCIANO SANTOS, 740",CENTRO,ARAGUARI,MG,3103504,paxdobrasil@uol.com.br,,034 3241-0940
CONSELHO CENTRAL DE ARAGUARI DA SOC S VI,CONSELHO CENTRAL DE ARAGUARI DA SOC S VICENTE DE PAULO,SERVICO SOCIAL DE LU,16.823.205/0002-98,ISENTO,38440-280,"RUA JOSIAS BATISTA LEITE, 283",BOSQUE,ARAGUARI,MG,3103504,fozanam@hotmail.com,,034 3241-2543
ALLIANCE ASSIST ADMINISTRADORA DE PLANOS,ALLIANCE ASSIST ADMINISTRADORA DE PLANOS,ALLIANCE ASSIST FUNE,52.713.072/0001-80,ISENTO,13600-070,"RUA TIRADENTES, 27",CENTRO,ARARAS,SP,3503307,begnami@begnami.com,19 98732-0886,(19) 3541-2320
P.R. GERLACH FUNERARIA,P.R. GERLACH FUNERARIA,PREVENTVIDA ASSISTEN,17.585.025/0001-05,isento,07400-470,"RUA SIQUEIRA CAMPOS, 165",JARDIM RINCAO,ARUJA,SP,3503901,paularoseane@hotmail.com,,(41) 9629-9709
FLAMIL COMERCIO E SERVICOS FUNERARIOS LT,FLAMIL COMERCIO E SERVICOS FUNERARIOS LTDA ME,FLAMIL FUNERARIA,00.937.800/0001-33,190119226119,12940-810,"PRACA BENTO PAES, 88",CENTRO,ATIBAIA,SP,3504107,flamiladmplanos@yahoo.com,(11) 4412-3574,011 9.9960-664
FORTALEZA SERVICOS DE LUTO LTDA,FORTALEZA SERVICOS DE LUTO LTDA,,04.102.236/0001-90,ISENTO,15140-000,"RUA RIO DE JANEIRO, 184",CENTRO,BALSAMO,SP,3504800,daulian@superig.com.br,017 3215-3106,017 3121-8007
