cep;cidade;numero;origem;estado;cnpj;nome;recompra;fantasia;razao_social;telefone;email;tag1;inscricao_estadual;codigo;logradouro;bairro;ibge;celular
13494-010;CORDEIROPOLIS;2477;Base Bignotto;SP;51.049.401/0001-77;BIGNOTTO INDUSTRIA E COMERCIO LTDA;20;BIGNOTTO;BIGNOTTO INDUSTRIA E COMERCIO LTDA;019 3546-9400;atendimento@bignotto.com.br;IUB;272003276115;4;AV ARISTEU MARCICANO;DISTRITO IND. E COME;3512407;019 3546-9404
38440-280;ARAGUARI;283;Base Bignotto;MG;16.823.205/0002-98;CONSELHO CENTRAL DE ARAGUARI DA SOC S VI;20;SERVICO SOCIAL DE LUTO;CONSELHO CENTRAL DE ARAGUARI DA SOC S VICENTE DE PAULO;034 3241-2543;fozanam@hotmail.com;IUB;ISENTO;7;RUA JOSIAS BATISTA LEITE;BOSQUE;3103504;
75024-040;ANAPOLIS;255;Base Bignotto;GO;01.051.606/0001-19;EMPRESA FUNERARIA SAO SEBASTIAO LTDA;20;FUNERARIA SAO SEBAST;EMPRESA FUNERARIA SAO SEBASTIAO LTDA;062 3324-2896;caixao.roxo@hotmail.com;IUB;10.058.734-8;9;RUA GENERAL JOAQUIM INACIO;CENTRO;5201108;062 3313-6968
35920-000;BELA VISTA DE MINAS;99;Base Bignotto;MG;25.401.894/0001-52;FUNERARIA ALVES LTDA;20;FUNERARIA ALVES;FUNERARIA ALVES LTDA;031 3861-1857;funerariabelavista@hotmail.com;IUB;060.586.995.00-06;10;RUA OSCAR DE ARAUJO;CENTENARIO;3106002;031 3861-0380
13471-200;AMERICANA;401;Base Bignotto;SP;54.878.467/0001-68;BOM PASTOR DE AMERICANA O L LTDA EPP;20;;BOM PASTOR DE AMERICANA O L LTDA EPP;019 3704-5825;bompastoram@gmail.com;IUB;165.074.046.110;14;RUA SAO JERONIMO;JARDIM BELA VISTA;3501608;019 3405-1777
13465-000;AMERICANA;300;Base Bignotto;SP;53.467.999/0001-40;EMPRESA FUNERARIA AMERICANA MAO AMIGA  L;20;;EMPRESA FUNERARIA AMERICANA MAO AMIGA  LTDA EPP;019 3475-4500;contato@funerariaamericana.com.br;IUB;ISENTO;16;AV CAMPOS SALLES;VILA JONES;3501608;
14801-060;ARARAQUARA;1022;Base Bignotto;SP;59.455.311/0001-98;ORGANIZACAO FUNERARIA BOM JESUS ARARAQUA;20;FUNERARIA BOM JESUS;ORGANIZACAO FUNERARIA BOM JESUS ARARAQUARA LTDA;016 3333-6336;funeraria@planobomjesus.com.br;IUB;181199285118;17;AVENIDA SAO PAULO;CENTRO;3503208;
18609-083;BOTUCATU;122;Base Bignotto;SP;48.995.740/0001-31;FUNERARIA CORACAO DE JESUS LTDA;20;;FUNERARIA CORACAO DE JESUS LTDA;014 3811-4040;"murilopz@hotmail.com; financeiro@botucatuprever.com.br;";IUB;ISENTO;23;RUA MAJOR MATHEUS;VILA DOS LAVRADORES;3507506;014 99118-6569
29300-160;CACHOEIRO DE ITAPEMIRIM;40;Base Bignotto;ES;28.473.346/0007-11;R PIZETA E CIA LTDA EPP;20;FUNERARIA CAMINHO DA;R PIZETA E CIA LTDA EPP;028 35229892;caminhodapaz.es@hotmail.com;IUB;081.702.31-0;31;RUA DOUTOR PAULINO DE OLIVEIRA;CENTRO;3201209;
13024-500;CAMPINAS;32;Base Bignotto;SP;49.413.800/0001-23;SETEC SERVICOS TECNICOS GERAIS;20;;SETEC SERVICOS TECNICOS GERAIS;019 3734-6124;difin@setec.sp.gov.br;IUB;ISENTO;33;PRACA VOLUNTARIOS DE;SWIFT;3509502;019 3234-4186
