insumo_codigo,insumo_nome,data_movimento,deposito_codigo,quantidade,custo,documento,transacao,sinal,sinal_quantidade,nome_transacao,insumo_grupo,insumo_grupo_nome,insumo_subgrupo,insumo_subgrupo_nome
2180048         ,"PARAFUSO CHATO PHS 4,5X20 ZINCADO                 ",2025-07-14,2,120.0000,3.05,29010,14,-1,-120.0000,REQUISICAO                    ,218,ARTEFATOS DE FIXACAO                    ,2,PARAFUSOS                               
4040007.02      ,R. MON. CX G. NORMAL MDF CASTANHO LISA C/ VNZ     ,2025-07-14,2,20.0000,1072.58,A7829,3,1,20.0000,REPORTE                       ,404,MONTAGEM CAIXAO                         ,1,CAIXAS MONTADAS                         
4030006.00      ,"R. MON. TP 2,10 MDP NATURAL                       ",2025-07-14,2,3.0000,46.95,28969,14,-1,-3.0000,REQUISICAO                    ,403,MONTAGEM TAMPA                          ,1,TAMPA MONTADA                           
4040019.00      ,"R. MON. CX 2,10 MDP 15 MM NATURAL                 ",2025-07-14,2,3.0000,53.00,28969,14,-1,-3.0000,REQUISICAO                    ,404,MONTAGEM CAIXAO                         ,1,CAIXAS MONTADAS                         
4270027.06      ,R. SOB. DO VIS 3 MM STD SOMBREADO                 ,2025-07-14,2,5.0000,9.91,28972,14,-1,-5.0000,REQUISICAO                    ,427,SOBRETAMPOS                             ,2,SOBRETAMPOS PINTADOS                    
4040004.06      ,"R. MON. CX 2,10 MDF SOMBREADO                     ",2025-07-14,2,5.0000,363.95,28972,14,-1,-5.0000,REQUISICAO                    ,404,MONTAGEM CAIXAO                         ,1,CAIXAS MONTADAS                         
4340067.06      ,R. TPO SEXT. 2.10 MT AB SOMBREADO                 ,2025-07-14,2,5.0000,43.25,28972,14,-1,-5.0000,REQUISICAO                    ,434,TAMPOES                                 ,2,TAMPOES PINTADOS                        
020.090106051229,"I09770 URNA 020 COMP 2,10M SOMB. SOBRETAMPO VARAO ",2025-07-14,1,5.0000,688.14,A7815,3,1,5.0000,REPORTE                       ,1,URNAS                                   ,2,URNAS POPULARES                         
020.090104050729,"I10180 URNA 020 CMP 2,10M CAST.VARAO C/PONTEIRA   ",2025-07-14,1,1.0000,105.72,A7896,3,1,1.0000,REPORTE                       ,1,URNAS                                   ,2,URNAS POPULARES                         
4340067.02      ,R. TPO SEXT. 2.10 MT AB CASTANHO LISA C/ VNZ      ,2025-07-14,2,1.0000,8.54,28990,14,-1,-1.0000,REQUISICAO                    ,434,TAMPOES                                 ,2,TAMPOES PINTADOS                        
