faturamento_nf_numero;faturamento_data_faturamento;faturamento_empresa_codigo_fk;faturamento_produto_codigo_fk;faturamento_qtde_produto;faturamento_valor_total;faturamento_valor_desconto;faturamento_tabela_preco_item_codigo_fk;faturamento_tabela_venda_codigo_fk;faturamento_cfop_codigo_fk;produto;produto_nome;grupo;grupo_nome;subgrupo;subgrupo_nome;empresa;empresa_nome;cidade_nome;cidade_estado;cidade_ibge;AnoMês;DiaSemana;AnoMêsExtenso
00076772;2025-04-01;1759;004.080000010210;15.000000;1560.450000;0.000000;004-004.080000010210;004;5.101     ;004.080000010210;I09652 NATURAL SEM VISOR CAIXA E TAMPA C/FORRAÇAO ;1;URNAS                                   ;2;URNA STD                                ;1759;PARAISO ASSISTENCIA FAMILIAR EIRELI     ;SAO SEBASTIAO                 ;SP;3550704;2025-04;Terça-feira;2025-04 Abril
00076775;2025-04-01;478;004.080002020411;5.000000;1314.500000;0.000000;041-004.080002020411;041;5.101     ;004.080002020411;I09039 URNA CARNEIRINHO S/VISOR ALÇA DURA C/VERNIZ;1;URNAS                                   ;2;URNA STD                                ;478;W A EMPRESA FUNERARIA LTDA - ME         ;SANTA GERTRUDES               ;SP;3546702;2025-04;Terça-feira;2025-04 Abril
00076772;2025-04-01;1759;004.080003010211;10.000000;1040.300000;0.000000;004-004.080003010211;004;5.101     ;004.080003010211;I09038 URNA 002 ASSISTENCIAL S/VERNIZ ALÇA DURA   ;1;URNAS                                   ;2;URNA STD                                ;1759;PARAISO ASSISTENCIA FAMILIAR EIRELI     ;SAO SEBASTIAO                 ;SP;3550704;2025-04;Terça-feira;2025-04 Abril
00076778;2025-04-01;164;004.080003010211;20.000000;3900.000000;0.000000;024-004.080003010211;024;5.101     ;004.080003010211;I09038 URNA 002 ASSISTENCIAL S/VERNIZ ALÇA DURA   ;1;URNAS                                   ;2;URNA STD                                ;164;URBANIZADORA MUNICIPAL S A URBAM        ;SAO JOSE DOS CAMPOS           ;SP;3549904;2025-04;Terça-feira;2025-04 Abril
00076778;2025-04-01;164;004.080009020212;10.000000;3000.000000;0.000000;024-004.080009020212;024;5.101     ;004.080009020212;I10095 URNA 004 STD BRANCO LISO C/ VNZ ALÇA PARREI;1;URNAS                                   ;2;URNA STD                                ;164;URBANIZADORA MUNICIPAL S A URBAM        ;SAO JOSE DOS CAMPOS           ;SP;3549904;2025-04;Terça-feira;2025-04 Abril
00076778;2025-04-01;164;010.080004030210;120.000000;22800.000000;0.000000;024-010.080004030210;024;5.101     ;010.080004030210;I10094 URNA 010 STD CASTANHO BORDADO FORRO + TNT +;1;URNAS                                   ;2;URNA STD                                ;164;URBANIZADORA MUNICIPAL S A URBAM        ;SAO JOSE DOS CAMPOS           ;SP;3549904;2025-04;Terça-feira;2025-04 Abril
00076778;2025-04-01;164;010.080004030312;20.000000;4000.000000;0.000000;024-010.080004030312;024;5.101     ;010.080004030312;I09710-010 CASTANHO ALÇA PARREIRA S/VISOR C/RENDA ;1;URNAS                                   ;2;URNA STD                                ;164;URBANIZADORA MUNICIPAL S A URBAM        ;SAO JOSE DOS CAMPOS           ;SP;3549904;2025-04;Terça-feira;2025-04 Abril
00076776;2025-04-01;978;010.080006030812;2.000000;564.000000;0.000000;007-010.080006030812;007;5.101     ;010.080006030812;I09708 URNA 010 STD SOMBREADO FORRO + TNT + RENDA ;1;URNAS                                   ;2;URNA STD                                ;978;SILVIA MARIA CANDIDO LTDA               ;MOGI GUACU                    ;SP;3530706;2025-04;Terça-feira;2025-04 Abril
00076778;2025-04-01;164;010.090004030237;10.000000;2600.000000;0.000000;024-010.090004030237;024;5.101     ;010.090004030237;I10097 URNA 010 2,10 M CASTANHO BORDADO FORRO + TN;1;URNAS                                   ;4;URNA 2.10 M                             ;164;URBANIZADORA MUNICIPAL S A URBAM        ;SAO JOSE DOS CAMPOS           ;SP;3549904;2025-04;Terça-feira;2025-04 Abril
00076778;2025-04-01;164;010.100004030210;20.000000;3900.000000;0.000000;024-010.100004030210;024;5.101     ;010.100004030210;I10096 URNA 010 GORDA NORMAL CASTANHO BORDADO FORR;1;URNAS                                   ;5;URNA GORDA NORMAL                       ;164;URBANIZADORA MUNICIPAL S A URBAM        ;SAO JOSE DOS CAMPOS           ;SP;3549904;2025-04;Terça-feira;2025-04 Abril
00076769;2025-04-01;2225;013.070102050728;50.000000;14000.000000;0.000000;017-013.070102050728;017;5.101     ;013.070102050728;I08343 URNA 013 1,90 M CASTANHO LISA C/ VNZ TNT + ;1;URNAS                                   ;3;URNA 1.90 M                             ;2225;SPE CONSORCIO CORTEL SP S.A             ;SAO PAULO                     ;SP;3550308;2025-04;Terça-feira;2025-04 Abril
00076773;2025-04-01;4138;013.080100040010;1.000000;231.000000;0.000000;008-013.080100040010;008;5.101     ;013.080100040010;I09660 NATURAL COM VISOR                          ;1;URNAS                                   ;2;URNA STD                                ;4138;HTC DISTRIBUIDORA DE MOVEIS HOSPITALARES;SAO PAULO                     ;SP;3550308;2025-04;Terça-feira;2025-04 Abril
00076771;2025-04-01;2217;013.080105010010;50.000000;11300.000000;0.000000;016-013.080105010010;016;5.101     ;013.080105010010;I10000 SERÁ INATIVADA URNA 013 MOGNO LISA COM VERN;1;URNAS                                   ;2;URNA STD                                ;2217;CONCESSIONARIA PREVER ADMINISTRACAO CEMI;SAO PAULO                     ;SP;3550308;2025-04;Terça-feira;2025-04 Abril
00076769;2025-04-01;2225;013.090100040037;2.000000;690.000000;0.000000;017-013.090100040037;017;5.101     ;013.090100040037;I09779 URNA 013 2,10 NATURAL COM ALÇA DURA PRATA  ;1;URNAS                                   ;4;URNA 2.10 M                             ;2225;SPE CONSORCIO CORTEL SP S.A             ;SAO PAULO                     ;SP;3550308;2025-04;Terça-feira;2025-04 Abril
00076769;2025-04-01;2225;013.140102050729;3.000000;1170.000000;0.000000;017-013.140102050729;017;5.101     ;013.140102050729;I08346 URNA 020 CX DUPLA 2,15M CASTANHO           ;1;URNAS                                   ;10;URNA CAIXA DUPLA                        ;2225;SPE CONSORCIO CORTEL SP S.A             ;SAO PAULO                     ;SP;3550308;2025-04;Terça-feira;2025-04 Abril
00076774;2025-04-01;400;015.021315082406;30.000000;9320.400000;0.000000;010-015.021315082406;010;5.101 A   ;015.021315082406;I01086 URNA 015 INFANTIL 1,00 M BRANCO ESMALTADO A;1;URNAS                                   ;21;URNA 1.00 M SEXT.                       ;400;PREFEITURA MUNICIPAL DE BARUERI         ;BARUERI                       ;SP;3505708;2025-04;Terça-feira;2025-04 Abril
00076772;2025-04-01;1759;015.080104051112;10.000000;1261.700000;0.000000;004-015.080104051112;004;5.101     ;015.080104051112;I09713 URNA 015 CASTANHO ALÇA PARREIRA COM VISOR  ;1;URNAS                                   ;2;URNA STD                                ;1759;PARAISO ASSISTENCIA FAMILIAR EIRELI     ;SAO SEBASTIAO                 ;SP;3550704;2025-04;Terça-feira;2025-04 Abril
00076774;2025-04-01;400;015.080104051112;286.000000;91817.440000;0.000000;010-015.080104051112;010;5.101 A   ;015.080104051112;I09713 URNA 015 CASTANHO ALÇA PARREIRA COM VISOR  ;1;URNAS                                   ;2;URNA STD                                ;400;PREFEITURA MUNICIPAL DE BARUERI         ;BARUERI                       ;SP;3505708;2025-04;Terça-feira;2025-04 Abril
00076776;2025-04-01;978;015.080104051112;2.000000;649.000000;0.000000;007-015.080104051112;007;5.101     ;015.080104051112;I09713 URNA 015 CASTANHO ALÇA PARREIRA COM VISOR  ;1;URNAS                                   ;2;URNA STD                                ;978;SILVIA MARIA CANDIDO LTDA               ;MOGI GUACU                    ;SP;3530706;2025-04;Terça-feira;2025-04 Abril
00076777;2025-04-01;400;015.080104051112;130.000000;41735.200000;0.000000;010-015.080104051112;010;5.101 A   ;015.080104051112;I09713 URNA 015 CASTANHO ALÇA PARREIRA COM VISOR  ;1;URNAS                                   ;2;URNA STD                                ;400;PREFEITURA MUNICIPAL DE BARUERI         ;BARUERI                       ;SP;3505708;2025-04;Terça-feira;2025-04 Abril
00076774;2025-04-01;400;015.090104051138;25.000000;5695.750000;0.000000;010-015.090104051138;010;5.101 A   ;015.090104051138;I09982 URNA 015 2,10 M CASTANHO BORDADO TNT + REND;1;URNAS                                   ;4;URNA 2.10 M                             ;400;PREFEITURA MUNICIPAL DE BARUERI         ;BARUERI                       ;SP;3505708;2025-04;Terça-feira;2025-04 Abril
00076769;2025-04-01;2225;020.080104050732;70.000000;19600.000000;0.000000;017-020.080104050732;017;5.101     ;020.080104050732;I09716 URNA 020 BORDADA CASTANHO VARÃO CANOPLA DOU;1;URNAS                                   ;2;URNA STD                                ;2225;SPE CONSORCIO CORTEL SP S.A             ;SAO PAULO                     ;SP;3550308;2025-04;Terça-feira;2025-04 Abril
00076772;2025-04-01;1759;020.080104050732;15.000000;2201.550000;0.000000;004-020.080104050732;004;5.101     ;020.080104050732;I09716 URNA 020 BORDADA CASTANHO VARÃO CANOPLA DOU;1;URNAS                                   ;2;URNA STD                                ;1759;PARAISO ASSISTENCIA FAMILIAR EIRELI     ;SAO SEBASTIAO                 ;SP;3550704;2025-04;Terça-feira;2025-04 Abril
00076776;2025-04-01;978;020.080106051228;1.000000;309.000000;0.000000;007-020.080106051228;007;5.101     ;020.080106051228;I09718 URNA 020 STD SOMBREADO VARÃO SEM PONTEIRA  ;1;URNAS                                   ;2;URNA STD                                ;978;SILVIA MARIA CANDIDO LTDA               ;MOGI GUACU                    ;SP;3530706;2025-04;Terça-feira;2025-04 Abril
00076769;2025-04-01;2225;020.100104050728;3.000000;1170.000000;0.000000;017-020.100104050728;017;5.101     ;020.100104050728;I10054 URNA 020 G CASTANHO C/ SILK E VARAO PONTEIR;1;URNAS                                   ;5;URNA GORDA NORMAL                       ;2225;SPE CONSORCIO CORTEL SP S.A             ;SAO PAULO                     ;SP;3550308;2025-04;Terça-feira;2025-04 Abril
00076768;2025-04-01;452;020.100106051228;4.000000;1504.000000;0.000000;030-020.100106051228;030;5.101     ;020.100106051228;I09884 URNA 020 GORDA NORMAL SOMBREADO TNT + RENDA;1;URNAS                                   ;5;URNA GORDA NORMAL                       ;452;BOM PASTOR DE HORTOLANDIA ORGANIZACAO DE;HORTOLANDIA                   ;SP;3519071;2025-04;Terça-feira;2025-04 Abril
00076782;2025-04-02;1173;999.11.001      ;43.200000;2808.000000;0.000000;020-999.11.001;020;5.101 R   ;999.11.001      ;RESIDUO DE MADEIRA DE PINUS EM CAVACO             ;999;GRUPO PRODUTOS SEM CONTROLE SALDO       ;11;DIVERSOS                                ;1173;SSB ENERGIA RENOVAVEL LTDA              ;CORDEIROPOLIS                 ;SP;3512407;2025-04;Quarta-feira;2025-04 Abril
00076783;2025-04-03;99;013.090102053338;3.000000;1080.000000;0.000000;023-013.090102053338;023;5.101 A   ;013.090102053338;I08802 URNA 013 2,10 M CASTANHO LISA C/ VNZ TNT + ;1;URNAS                                   ;4;URNA 2.10 M                             ;99;SERVICO FUNERARIO DO MUNICIPIO DE SANTO ;SANTO ANDRE                   ;SP;3547809;2025-04;Quinta-feira;2025-04 Abril
00076783;2025-04-03;99;015.100104051112;3.000000;1140.000000;0.000000;023-015.100104051112;023;5.101 A   ;015.100104051112;I09890 URNA 015 G NORMAL BORDADO CASTANHO         ;1;URNAS                                   ;5;URNA GORDA NORMAL                       ;99;SERVICO FUNERARIO DO MUNICIPIO DE SANTO ;SANTO ANDRE                   ;SP;3547809;2025-04;Quinta-feira;2025-04 Abril
00076792;2025-04-04;2223;004.080000170201;100.000000;17000.000000;0.000000;20-004.080000170201;20 ;5.101     ;004.080000170201;F00023 URNA 004 STD NATURAL SEM FORRAÇÃO CH/ES PLA;1;URNAS                                   ;2;URNA STD                                ;2223;CONCESSIONARIA DE CEMITERIOS E SERVICOS ;SAO PAULO                     ;SP;3550308;2025-04;Sexta-feira;2025-04 Abril
